CPU,%user
all,22.66
0,2.02
1,2.04
2,14.00
3,0.00
4,100.00
5,2.02
6,1.96
7,1.01
8,86.00
9,52.00
10,6.80
11,3.03
all,27.79
0,0.99
1,2.97
2,9.90
3,93.00
4,100.00
5,43.00
6,1.01
7,1.01
8,71.00
9,8.91
10,1.00
11,1.00
all,29.36
0,10.78
1,25.25
2,3.03
3,47.00
4,72.00
5,56.57
6,2.02
7,65.66
8,1.02
9,19.19
10,4.00
11,45.92
all,28.67
0,0.00
1,1.98
2,2.04
3,1.01
4,2.00
5,0.00
6,7.07
7,74.75
8,1.00
9,100.00
10,53.00
11,100.00
all,38.04
0,38.00
1,2.04
2,49.00
3,5.00
4,2.02
5,4.00
6,20.00
7,4.04
8,52.53
9,100.00
10,100.00
11,78.22
all,49.50
0,99.00
1,67.68
2,36.63
3,10.78
4,15.69
5,37.62
6,14.56
7,10.00
8,100.00
9,85.15
10,100.00
11,18.56
all,48.96
0,97.98
1,100.00
2,4.95
3,6.00
4,34.00
5,100.00
6,5.05
7,3.96
8,100.00
9,54.00
10,62.63
11,21.36
all,60.93
0,99.01
1,100.00
2,30.30
3,5.05
4,62.00
5,13.73
6,66.33
7,5.94
8,61.22
9,100.00
10,88.00
11,100.00
all,54.33
0,91.00
1,94.00
2,54.00
3,45.00
4,19.00
5,1.00
6,0.99
7,1.00
8,47.00
9,100.00
10,100.00
11,100.00
all,58.06
0,100.00
1,100.00
2,13.13
3,10.10
4,45.45
5,82.00
6,53.54
7,11.00
8,100.00
9,100.00
10,36.63
11,44.00
all,70.12
0,100.00
1,100.00
2,90.91
3,27.00
4,5.00
5,51.00
6,100.00
7,100.00
8,5.00
9,62.63
10,100.00
11,100.00
all,66.81
0,95.96
1,99.01
2,100.00
3,2.00
4,93.00
5,95.05
6,41.00
7,100.00
8,3.96
9,100.00
10,60.00
11,12.00
all,78.20
0,100.00
1,38.38
2,100.00
3,80.61
4,100.00
5,100.00
6,16.83
7,100.00
8,28.28
9,75.00
10,100.00
11,99.00
all,89.42
0,91.00
1,29.70
2,100.00
3,100.00
4,86.00
5,76.77
6,99.00
7,91.00
